age,job,marital,education,default,balance,housing_loan,personal_loan,contact,day,month,duration,campaign,pdays,previous,poutcome,LOAN_APPROVAL
56,retired,married,tertiary,0,102856,1,0,cellular,21,sep,798,16,343,0,failure,1
69,student,single,tertiary,1,64751,0,0,cellular,20,may,250,15,466,3,success,0
46,services,divorced,tertiary,0,88210,1,1,telephone,3,mar,268,15,476,2,success,1
32,services,married,primary,0,39552,0,1,cellular,13,aug,671,4,487,8,unknown,1
60,student,divorced,secondary,0,14103,0,0,cellular,9,jul,1859,5,242,1,unknown,1
25,services,single,secondary,0,132094,1,0,telephone,24,sep,716,4,343,3,success,1
38,admin,married,tertiary,0,109777,1,0,telephone,3,jan,324,5,102,5,failure,0
56,technician,divorced,primary,0,121074,1,0,cellular,5,jul,1731,2,60,0,failure,1
36,technician,single,secondary,0,92901,0,1,cellular,13,aug,987,2,19,1,unknown,1
40,retired,divorced,primary,0,15975,1,1,cellular,3,jan,1167,11,149,7,unknown,0
28,student,divorced,tertiary,0,99550,0,0,telephone,13,dec,1778,4,374,3,failure,1
28,student,married,primary,0,86421,1,0,cellular,8,apr,1930,17,390,3,success,1
41,admin,single,tertiary,1,32197,1,0,telephone,17,jul,361,11,400,3,success,1
70,retired,divorced,secondary,0,46035,1,1,telephone,12,feb,1999,6,447,4,success,1
53,management,married,primary,0,61686,0,1,telephone,23,oct,154,19,52,8,success,0
57,technician,married,secondary,0,123082,1,1,telephone,3,jan,1725,11,303,1,unknown,1
41,services,divorced,tertiary,0,39822,1,1,telephone,26,feb,1681,15,336,7,failure,0
20,student,single,secondary,0,141175,1,1,cellular,11,dec,627,15,52,1,failure,1
39,retired,single,secondary,0,38502,1,1,cellular,29,feb,1457,2,436,3,failure,1
70,management,single,tertiary,0,62493,0,0,cellular,20,oct,1350,13,468,8,failure,1
19,services,married,primary,1,25076,0,0,cellular,18,may,31,4,254,1,failure,0
41,services,married,primary,0,2951,0,0,telephone,16,jul,922,9,221,6,failure,1
61,retired,divorced,tertiary,0,88058,0,0,telephone,13,jun,1385,3,265,5,unknown,1
47,retired,single,tertiary,0,39328,0,0,cellular,8,apr,1943,5,172,7,failure,1
55,retired,divorced,tertiary,0,114358,1,1,telephone,11,apr,994,1,61,7,failure,1
19,technician,single,secondary,0,39117,0,1,telephone,22,may,1808,2,285,5,failure,1
38,student,married,tertiary,0,101371,1,1,telephone,28,jul,1426,8,295,9,success,0
50,student,single,secondary,0,109744,1,0,cellular,11,may,871,1,456,3,success,1
29,admin,single,secondary,0,80582,0,0,cellular,2,apr,1844,3,4,8,failure,1
39,student,single,primary,0,124875,0,1,telephone,2,feb,1424,12,222,3,failure,1
61,retired,divorced,tertiary,0,97601,0,0,telephone,23,may,329,13,276,7,failure,1
42,student,married,tertiary,0,61258,1,1,telephone,20,nov,457,2,228,7,unknown,1
66,technician,married,tertiary,0,9463,0,0,cellular,12,apr,1481,12,410,8,unknown,1
44,admin,single,secondary,0,15889,0,1,cellular,12,dec,755,7,27,8,unknown,0
59,management,divorced,primary,0,104866,1,1,cellular,25,dec,502,19,472,0,success,1
45,admin,single,secondary,1,133869,0,0,telephone,19,mar,82,5,44,1,unknown,0
33,technician,divorced,tertiary,0,102451,1,0,cellular,29,jun,1326,17,88,6,success,0
32,technician,single,primary,0,136992,1,0,telephone,26,jun,1598,10,326,0,failure,1
64,student,divorced,tertiary,0,110079,1,0,telephone,16,jul,619,11,66,2,unknown,1
68,admin,single,secondary,0,44749,0,0,cellular,25,sep,996,7,88,5,failure,1
61,admin,married,secondary,0,78966,0,0,telephone,2,nov,1134,7,311,0,unknown,0
72,student,married,tertiary,0,566,0,1,cellular,4,jun,1470,3,15,8,success,1
69,technician,married,tertiary,0,10212,0,1,cellular,14,jul,672,3,71,1,success,0
74,technician,single,tertiary,0,100838,0,1,telephone,18,may,411,1,103,3,unknown,1
20,management,married,tertiary,0,55953,1,1,telephone,9,aug,1121,10,210,6,failure,0
54,technician,divorced,primary,0,41995,1,1,telephone,13,may,851,9,251,7,unknown,1
68,technician,divorced,primary,0,60722,0,0,cellular,1,oct,1962,17,467,3,failure,1
24,services,single,tertiary,0,145173,1,1,cellular,12,dec,702,8,433,5,unknown,0
38,services,married,primary,1,29370,1,1,telephone,21,jan,1288,1,261,3,success,0
26,services,divorced,tertiary,0,70521,0,1,cellular,26,feb,1725,4,416,6,failure,1
56,retired,single,secondary,0,9331,0,1,telephone,13,may,128,19,390,7,success,0
35,student,married,tertiary,0,135915,0,1,cellular,2,sep,1676,18,86,8,failure,1
21,retired,married,primary,0,-970,0,1,telephone,10,jul,1325,5,131,3,failure,0
42,technician,single,tertiary,0,58508,1,0,cellular,5,dec,1827,6,363,7,success,1
31,services,divorced,secondary,0,96109,0,0,telephone,2,aug,1923,6,358,8,unknown,0
67,student,divorced,secondary,0,34042,0,0,cellular,25,jun,899,10,350,1,failure,1
26,management,divorced,secondary,0,14144,1,0,telephone,29,aug,1479,2,182,4,failure,1
43,management,divorced,tertiary,0,136500,1,0,cellular,26,mar,1202,4,63,5,success,1
70,management,single,tertiary,0,131797,0,0,telephone,16,sep,1628,12,125,8,failure,1
19,technician,married,secondary,0,56846,0,1,cellular,20,jul,169,1,411,7,failure,0
37,student,married,secondary,0,32944,1,0,cellular,1,nov,1958,19,130,4,success,1
45,services,divorced,primary,1,101550,1,1,telephone,2,mar,274,4,419,6,success,1
64,technician,divorced,tertiary,0,2755,0,1,telephone,19,aug,1777,11,68,4,unknown,1
24,technician,divorced,secondary,0,28238,1,1,telephone,16,oct,1186,14,153,2,failure,1
61,management,single,tertiary,0,79374,1,1,cellular,17,aug,221,17,427,8,failure,0
25,services,single,tertiary,0,144610,0,0,cellular,2,mar,1555,11,182,9,failure,1
64,retired,married,tertiary,0,130318,1,1,telephone,27,sep,1482,14,408,6,unknown,1
52,admin,married,primary,0,101424,0,0,cellular,21,mar,882,7,157,4,unknown,1
31,technician,divorced,secondary,0,141564,0,0,telephone,12,aug,230,19,36,4,unknown,1
34,services,married,secondary,0,-1276,0,0,telephone,24,mar,1576,4,39,6,success,1
53,admin,divorced,secondary,0,10681,0,1,telephone,8,feb,88,19,434,5,unknown,1
67,admin,divorced,primary,0,91106,1,0,telephone,10,jul,163,4,97,7,failure,0
57,retired,divorced,primary,0,94350,1,0,telephone,3,apr,793,3,482,2,success,1
