age,job,marital,education,default,balance,housing_loan,personal_loan,contact,day,month,duration,campaign,pdays,previous,poutcome,LOAN_APPROVAL
,retired,married,tertiary,0.0,102856.0,1.0,0.0,cellular,21.0,sep,798.0,16.0,343.0,0.0,failure,1.0
69.0,,single,tertiary,1.0,64751.0,0.0,0.0,cellular,20.0,may,250.0,15.0,466.0,3.0,success,0.0
46.0,services,,tertiary,0.0,88210.0,1.0,1.0,telephone,3.0,mar,268.0,15.0,476.0,2.0,success,1.0
32.0,services,married,,0.0,39552.0,0.0,1.0,cellular,13.0,aug,671.0,4.0,487.0,8.0,unknown,1.0
60.0,student,divorced,secondary,,14103.0,0.0,0.0,cellular,9.0,jul,1859.0,5.0,242.0,1.0,unknown,1.0
25.0,services,single,secondary,0.0,,1.0,0.0,telephone,24.0,sep,716.0,4.0,343.0,3.0,success,1.0
38.0,admin,married,tertiary,0.0,109777.0,,0.0,telephone,3.0,jan,324.0,5.0,102.0,5.0,failure,0.0
56.0,technician,divorced,primary,0.0,121074.0,1.0,,cellular,5.0,jul,1731.0,2.0,60.0,0.0,failure,1.0
36.0,technician,single,secondary,0.0,92901.0,0.0,1.0,,13.0,aug,987.0,2.0,19.0,1.0,unknown,1.0
40.0,retired,divorced,primary,0.0,15975.0,1.0,1.0,cellular,,jan,1167.0,11.0,149.0,7.0,unknown,0.0
28.0,student,divorced,tertiary,0.0,99550.0,0.0,0.0,telephone,13.0,,1778.0,4.0,374.0,3.0,failure,1.0
28.0,student,married,primary,0.0,86421.0,1.0,0.0,cellular,8.0,apr,,17.0,390.0,3.0,success,1.0
41.0,admin,single,tertiary,1.0,32197.0,1.0,0.0,telephone,17.0,jul,361.0,,400.0,3.0,success,1.0
70.0,retired,divorced,secondary,0.0,46035.0,1.0,1.0,telephone,12.0,feb,1999.0,6.0,,4.0,success,1.0
53.0,management,married,primary,0.0,61686.0,0.0,1.0,telephone,23.0,oct,154.0,19.0,52.0,,success,0.0
57.0,technician,married,secondary,0.0,123082.0,1.0,1.0,telephone,3.0,jan,1725.0,11.0,303.0,1.0,,1.0
41.0,services,divorced,tertiary,0.0,39822.0,1.0,1.0,telephone,26.0,feb,1681.0,15.0,336.0,7.0,failure,
,student,single,secondary,0.0,141175.0,1.0,1.0,cellular,11.0,dec,627.0,15.0,52.0,1.0,failure,1.0
39.0,,single,secondary,0.0,38502.0,1.0,1.0,cellular,29.0,feb,1457.0,2.0,436.0,3.0,failure,1.0
70.0,management,,tertiary,0.0,62493.0,0.0,0.0,cellular,20.0,oct,1350.0,13.0,468.0,8.0,failure,1.0
19.0,services,married,primary,1.0,25076.0,0.0,0.0,cellular,18.0,may,31.0,4.0,254.0,1.0,failure,0.0
41.0,services,married,primary,0.0,2951.0,0.0,0.0,telephone,16.0,jul,922.0,9.0,221.0,6.0,failure,1.0
61.0,retired,divorced,tertiary,0.0,88058.0,0.0,0.0,telephone,13.0,jun,1385.0,3.0,265.0,5.0,unknown,1.0
47.0,retired,single,tertiary,0.0,39328.0,0.0,0.0,cellular,8.0,apr,1943.0,5.0,172.0,7.0,failure,1.0
